Source	Target	Total	G1	Train	Valid	Test
ChEMBL	ALK	1204 (Active 763 | Inactive 441)	50 (Active 50)	769 (Active 475 | Inactive 294)	193 (Active 119 | Inactive 74)	192 (Active 119 | Inactive 73)
ChEMBL	BTK	1678 (Active 1131 | Inactive 547)	50 (Active 50)	1086 (Active 721 | Inactive 365)	271 (Active 180 | Inactive 91)	271 (Active 180 | Inactive 91)
ChEMBL	CHK1	1488 (Active 736 | Inactive 752)	50 (Active 50)	958 (Active 457 | Inactive 501)	239 (Active 114 | Inactive 125)	241 (Active 115 | Inactive 126)
ChEMBL	FLT3	1362 (Active 777 | Inactive 585)	50 (Active 50)	875 (Active 485 | Inactive 390)	219 (Active 121 | Inactive 98)	218 (Active 121 | Inactive 97)
ChEMBL	HGF	2583 (Active 1815 | Inactive 768)	50 (Active 50)	1689 (Active 1177 | Inactive 512)	422 (Active 294 | Inactive 128)	422 (Active 294 | Inactive 128)
ChEMBL	IRAK4	1530 (Active 1068 | Inactive 462)	50 (Active 50)	987 (Active 679 | Inactive 308)	247 (Active 170 | Inactive 77)	246 (Active 169 | Inactive 77)
ChEMBL	ITK	763 (Active 334 | Inactive 429)	50 (Active 50)	475 (Active 189 | Inactive 286)	119 (Active 47 | Inactive 72)	119 (Active 48 | Inactive 71)
ChEMBL	PIM1	2444 (Active 1967 | Inactive 477)	50 (Active 50)	1596 (Active 1278 | Inactive 318)	400 (Active 320 | Inactive 80)	398 (Active 319 | Inactive 79)
ChEMBL	SYK	2259 (Active 1735 | Inactive 524)	50 (Active 50)	1472 (Active 1123 | Inactive 349)	368 (Active 281 | Inactive 87)	369 (Active 281 | Inactive 88)
ChEMBL	TRKA	1397 (Active 934 | Inactive 463)	50 (Active 50)	898 (Active 589 | Inactive 309)	224 (Active 147 | Inactive 77)	225 (Active 148 | Inactive 77)
