Source	Target	Total	G1	Train	Valid	Test
ChEMBL	ALK	785 (Active 344 | Inactive 441)	50 (Active 50)	490 (Active 196 | Inactive 294)	123 (Active 49 | Inactive 74)	122 (Active 49 | Inactive 73)
ChEMBL	BTK	961 (Active 414 | Inactive 547)	50 (Active 50)	608 (Active 243 | Inactive 365)	152 (Active 61 | Inactive 91)	151 (Active 60 | Inactive 91)
ChEMBL	CHK1	1303 (Active 551 | Inactive 752)	50 (Active 50)	835 (Active 334 | Inactive 501)	209 (Active 84 | Inactive 125)	209 (Active 83 | Inactive 126)
ChEMBL	FLT3	1025 (Active 440 | Inactive 585)	50 (Active 50)	650 (Active 260 | Inactive 390)	163 (Active 65 | Inactive 98)	162 (Active 65 | Inactive 97)
ChEMBL	HGF	1330 (Active 562 | Inactive 768)	50 (Active 50)	853 (Active 341 | Inactive 512)	213 (Active 85 | Inactive 128)	214 (Active 86 | Inactive 128)
ChEMBL	IRAK4	820 (Active 358 | Inactive 462)	50 (Active 50)	513 (Active 205 | Inactive 308)	128 (Active 51 | Inactive 77)	129 (Active 52 | Inactive 77)
ChEMBL	ITK	760 (Active 334 | Inactive 426)	50 (Active 50)	473 (Active 189 | Inactive 284)	118 (Active 47 | Inactive 71)	119 (Active 48 | Inactive 71)
ChEMBL	PIM1	845 (Active 368 | Inactive 477)	50 (Active 50)	530 (Active 212 | Inactive 318)	133 (Active 53 | Inactive 80)	132 (Active 53 | Inactive 79)
ChEMBL	SYK	923 (Active 399 | Inactive 524)	50 (Active 50)	582 (Active 233 | Inactive 349)	145 (Active 58 | Inactive 87)	146 (Active 58 | Inactive 88)
ChEMBL	TRKA	821 (Active 358 | Inactive 463)	50 (Active 50)	514 (Active 205 | Inactive 309)	128 (Active 51 | Inactive 77)	129 (Active 52 | Inactive 77)
