Target	nG1	Fingerprint_type	Scaler	RF ACC	RF AUC	RF PR	RF SP	XGB ACC	XGB AUC	XGB PR	XGB SP	SVM ACC	SVM AUC	SVM PR	SVM SP	MLP ACC	MLP AUC	MLP PR	MLP SP
ALK	20	ECFP4_256bits	Robust	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.99 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.93 | Test 0.92	Train 1.00 | Valid 0.92 | Test 0.91	Train 1.00 | Valid 0.92 | Test 0.90	Train 1.00 | Valid 0.95 | Test 0.93	Train 0.93 | Valid 0.92 | Test 0.94	Train 0.92 | Valid 0.90 | Test 0.94	Train 0.96 | Valid 0.95 | Test 0.96	Train 0.97 | Valid 0.97 | Test 0.97
ALK	20	ECFP4_256bits	Standard	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.99 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.94 | Valid 0.98 | Test 0.98	Train 0.93 | Valid 0.97 | Test 0.98	Train 0.98 | Valid 0.98 | Test 0.98	Train 0.98 | Valid 0.99 | Test 0.99
ALK	20	ECFP4_256bits	MinMax	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.99 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.88 | Valid 0.93 | Test 0.97	Train 0.86 | Valid 0.91 | Test 0.96	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.89 | Valid 0.92 | Test 0.97	Train 0.87 | Valid 0.90 | Test 0.96	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
ALK	20	ECFP4_512bits	Robust	Train 0.94 | Valid 0.97 | Test 0.97	Train 0.94 | Valid 0.96 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.98 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.96 | Valid 0.99 | Test 0.99	Train 0.96 | Valid 0.99 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
ALK	20	ECFP4_512bits	Standard	Train 0.94 | Valid 0.97 | Test 0.97	Train 0.94 | Valid 0.96 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.98 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.80 | Test 0.84	Train 1.00 | Valid 0.76 | Test 0.80	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.65 | Valid 0.68 | Test 0.67	Train 0.60 | Valid 0.60 | Test 0.60	Train 0.96 | Valid 1.00 | Test 0.91	Train 0.99 | Valid 1.00 | Test 0.99
ALK	20	ECFP4_512bits	MinMax	Train 0.94 | Valid 0.97 | Test 0.97	Train 0.94 | Valid 0.96 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.98 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.96 | Valid 0.99 | Test 1.00	Train 0.95 | Valid 0.99 | Test 1.00	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 1.00 | Test 1.00
ALK	20	ECFP6_256bits	Robust	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 1.00 | Test 0.94	Train 1.00 | Valid 1.00 | Test 0.96	Train 0.94 | Valid 0.97 | Test 0.97	Train 0.93 | Valid 0.96 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 0.90 | Test 0.89	Train 1.00 | Valid 0.91 | Test 0.90	Train 1.00 | Valid 0.82 | Test 0.81	Train 1.00 | Valid 0.86 | Test 0.85	Train 0.95 | Valid 0.92 | Test 0.97	Train 0.94 | Valid 0.93 | Test 0.97	Train 0.97 | Valid 0.84 | Test 0.92	Train 0.98 | Valid 0.88 | Test 0.95
ALK	20	ECFP6_256bits	Standard	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 1.00 | Test 0.94	Train 1.00 | Valid 1.00 | Test 0.96	Train 0.94 | Valid 0.97 | Test 0.97	Train 0.93 | Valid 0.96 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.88 | Valid 0.92 | Test 0.98	Train 0.86 | Valid 0.90 | Test 0.97	Train 0.98 | Valid 0.98 | Test 1.00	Train 0.99 | Valid 0.99 | Test 1.00
ALK	20	ECFP6_256bits	MinMax	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 1.00 | Test 0.94	Train 1.00 | Valid 1.00 | Test 0.96	Train 0.94 | Valid 0.97 | Test 0.97	Train 0.93 | Valid 0.96 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 0.89 | Test 0.98	Train 1.00 | Valid 0.87 | Test 0.97	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.94 | Valid 0.97 | Test 0.98	Train 0.93 | Valid 0.97 | Test 0.99	Train 0.97 | Valid 0.94 | Test 0.96	Train 0.98 | Valid 0.96 | Test 0.97
ALK	20	ECFP6_512bits	Robust	Train 0.93 | Valid 0.98 | Test 0.97	Train 0.93 | Valid 0.97 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.98 | Valid 1.00 | Test 0.96	Train 0.94 | Valid 0.98 | Test 0.98	Train 0.94 | Valid 0.97 | Test 0.98	Train 0.98 | Valid 1.00 | Test 0.96	Train 0.99 | Valid 1.00 | Test 0.97	Train 1.00 | Valid 0.99 | Test 0.97	Train 1.00 | Valid 0.99 | Test 0.97	Train 1.00 | Valid 1.00 | Test 0.94	Train 1.00 | Valid 1.00 | Test 0.96	Train 0.99 | Valid 0.99 | Test 0.99	Train 0.99 | Valid 0.99 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
