colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9408163265306122	0.9711904761904762	0.9315547489413187
0.5	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9408163265306122	0.9711904761904762	0.9315547489413187
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9183673469387756	0.968421052631579	0.9033968542044766
0.5	error	0	0.01	4	3	200	binary:logitraw	1.0	0.9122448979591837	0.968421052631579	0.8956336963097398
0.5	auc	0	0.01	4	3	200	binary:logitraw	1.0	0.9122448979591837	0.968421052631579	0.8956336963097398
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9183673469387756	0.968421052631579	0.9033968542044766
0.5	auc	0	0.2	4	3	600	binary:logitraw	1.0	0.9551020408163264	0.9670095693779903	0.9499621899576528
0.5	error	0	0.2	4	3	600	binary:logitraw	1.0	0.9551020408163264	0.9670095693779903	0.9499621899576528
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9163265306122449	0.9669590643274854	0.9010284331518452
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9163265306122449	0.9669590643274854	0.9010284331518452
0.5	auc	0	0.2	4	3	1000	binary:logitraw	1.0	0.9510204081632653	0.9667171717171715	0.9449621899576528
0.5	error	0	0.2	4	3	1000	binary:logitraw	1.0	0.9510204081632653	0.9667171717171715	0.9449621899576528
1.0	auc	0	0.2	4	3	600	binary:logitraw	1.0	0.9530612244897959	0.9667171717171715	0.9477253478523895
1.0	auc	0	0.2	4	3	1000	binary:logitraw	1.0	0.9530612244897959	0.9667171717171715	0.9477253478523895
1.0	error	0	0.2	4	3	1000	binary:logitraw	1.0	0.9530612244897959	0.9667171717171715	0.9477253478523895
1.0	error	0	0.2	4	3	600	binary:logitraw	1.0	0.9530612244897959	0.9667171717171715	0.9477253478523895
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9306122448979591	0.9664285714285714	0.9196990320629158
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9346938775510203	0.9664285714285714	0.9246990320629159
0.5	error	0	0.01	4	3	600	binary:logitraw	1.0	0.926530612244898	0.9664285714285714	0.9144358741681792
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9306122448979591	0.9664285714285714	0.9196990320629158
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9346938775510203	0.9664285714285714	0.9246990320629159
0.5	auc	0	0.01	4	3	600	binary:logitraw	1.0	0.926530612244898	0.9664285714285714	0.9144358741681792
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9061224489795918	0.9653250773993809	0.8881336963097398
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9061224489795918	0.9653250773993809	0.8881336963097398
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9061224489795918	0.9653250773993809	0.8881336963097398
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9061224489795918	0.9653250773993809	0.8881336963097398
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9061224489795918	0.9653250773993809	0.8881336963097398
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9061224489795918	0.9653250773993809	0.8881336963097398
0.5	auc	0	0.2	4	3	200	binary:logitraw	1.0	0.9469387755102041	0.9649404761904762	0.9399621899576527
0.5	error	0	0.2	4	3	200	binary:logitraw	1.0	0.9469387755102041	0.9649404761904762	0.9399621899576527
1.0	auc	0	0.01	6	3	600	binary:logitraw	1.0	0.9346938775510203	0.9645652173913042	0.9256064730792499
1.0	error	0	0.01	6	3	600	binary:logitraw	1.0	0.9346938775510203	0.9645652173913042	0.9256064730792499
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9163265306122449	0.9636842105263158	0.9017301875378099
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9163265306122449	0.9636842105263158	0.9017301875378099
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9285714285714285	0.9631818181818181	0.9179748941318813
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9285714285714285	0.9631818181818181	0.9179748941318813
1.0	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9061224489795918	0.9631578947368421	0.8889095583787053
1.0	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9081632653061226	0.9631578947368421	0.8914095583787054
1.0	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9081632653061226	0.9631578947368421	0.8914095583787054
1.0	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9061224489795918	0.9631578947368421	0.8889095583787053
1.0	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9081632653061226	0.9631578947368421	0.8914095583787054
1.0	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9081632653061226	0.9631578947368421	0.8914095583787054
0.5	auc	0	0.2	4	3	1000	binary:logitraw	0.5	0.9448979591836734	0.9630650154798761	0.9373306110102841
0.5	error	0	0.2	4	3	1000	binary:logitraw	0.5	0.9448979591836734	0.9630650154798761	0.9373306110102841
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9448979591836734	0.9629999999999999	0.9391454930429521
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9448979591836734	0.9629999999999999	0.9391454930429521
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9326530612244899	0.9629186602870814	0.9229748941318814
0.5	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9326530612244899	0.9629186602870814	0.9229748941318814
0.5	auc	0	0.2	4	1	1000	binary:logitraw	0.5	0.9489795918367347	0.9621933621933622	0.943558681185723
0.5	error	0	0.2	4	1	1000	binary:logitraw	0.5	0.9489795918367347	0.9621933621933622	0.943558681185723
0.5	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9387755102040816	0.9621717171717172	0.9306064730792499
0.5	auc	0	0.01	8	3	1000	binary:logitraw	1.0	0.936734693877551	0.9621717171717172	0.9279748941318815
0.5	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.936734693877551	0.9621717171717172	0.9279748941318815
0.5	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9387755102040816	0.9621717171717172	0.9306064730792499
1.0	error	0	0.2	8	3	200	binary:logitraw	1.0	0.9530612244897959	0.9618665648077414	0.9485586811857228
0.5	error	0	0.2	4	1	600	binary:logitraw	0.5	0.9448979591836736	0.9618665648077414	0.9385586811857228
0.5	auc	0	0.2	4	1	600	binary:logitraw	0.5	0.9448979591836736	0.9618665648077414	0.9385586811857228
1.0	auc	0	0.2	8	3	200	binary:logitraw	1.0	0.9530612244897959	0.9618665648077414	0.9485586811857228
0.5	error	0	0.2	8	1	1000	binary:logitraw	1.0	0.9469387755102041	0.961736842105263	0.9413823351482155
0.5	auc	0	0.2	8	1	1000	binary:logitraw	1.0	0.9469387755102041	0.961736842105263	0.9413823351482155
1.0	auc	0	0.2	4	3	200	binary:logitraw	1.0	0.9489795918367345	0.9617171717171716	0.9433696309739865
1.0	error	0	0.2	4	3	200	binary:logitraw	1.0	0.9489795918367345	0.9617171717171716	0.9433696309739865
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9265306122448977	0.9616666666666666	0.9161191772534785
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9428571428571427	0.9616666666666666	0.9366454930429523
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9387755102040816	0.9616666666666666	0.9316454930429522
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9387755102040816	0.9616666666666666	0.9316454930429522
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9428571428571427	0.9616666666666666	0.9366454930429523
0.5	error	0	0.01	6	3	600	binary:logitraw	1.0	0.9306122448979591	0.9616666666666666	0.9213823351482155
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9265306122448977	0.9616666666666666	0.9161191772534785
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9387755102040816	0.9616666666666666	0.9316454930429522
0.5	auc	0	0.01	6	3	600	binary:logitraw	1.0	0.9306122448979591	0.9616666666666666	0.9213823351482155
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9387755102040816	0.9616666666666666	0.9316454930429522
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9367346938775508	0.9614772727272726	0.9281064730792498
