max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	2	4	200	0.9295779220779222	0.9633667502088554	0.9118627450980392
12	log2	2	2	200	0.9295779220779222	0.9633667502088554	0.9118627450980392
10	log2	2	2	200	0.9295454545454545	0.9596655000673039	0.9128151260504203
10	log2	2	4	200	0.9295454545454545	0.9596655000673039	0.9128151260504203
12	log2	2	4	600	0.9295779220779222	0.9558228905597327	0.9129341736694677
12	log2	2	4	1000	0.9277597402597404	0.9558228905597327	0.9104341736694679
12	log2	2	2	600	0.9295779220779222	0.9558228905597327	0.9129341736694677
12	log2	2	2	1000	0.9277597402597404	0.9558228905597327	0.9104341736694679
12	sqrt	2	2	200	0.9259740259740259	0.9548272195640616	0.9090056022408964
10	sqrt	2	2	200	0.9277597402597403	0.9548272195640616	0.9113865546218488
10	sqrt	2	4	200	0.9277597402597403	0.9548272195640616	0.9113865546218488
12	sqrt	2	4	200	0.9259740259740259	0.9548272195640616	0.9090056022408964
10	log2	2	4	600	0.9277597402597403	0.951786283891547	0.9113865546218488
10	log2	2	2	600	0.9277597402597403	0.951786283891547	0.9113865546218488
12	log2	2	8	600	0.925974025974026	0.9501348960636886	0.9090056022408964
12	sqrt	2	2	1000	0.929577922077922	0.9490669856459328	0.9148389355742298
12	sqrt	2	4	1000	0.929577922077922	0.9490669856459328	0.9148389355742298
10	log2	2	2	1000	0.9277922077922078	0.9474003189792664	0.9124579831932774
10	log2	2	4	1000	0.9277922077922078	0.9474003189792664	0.9124579831932774
10	sqrt	2	2	1000	0.9277272727272725	0.9467862838915468	0.9123389355742297
10	sqrt	2	4	1000	0.9277272727272725	0.9467862838915468	0.9123389355742297
12	log2	2	8	1000	0.9277922077922078	0.9467293233082706	0.9124579831932774
10	sqrt	2	2	600	0.9259415584415583	0.9464938862307282	0.910077030812325
10	sqrt	2	4	600	0.9259415584415583	0.9464938862307282	0.910077030812325
8	sqrt	2	2	1000	0.9295454545454543	0.9434529505582135	0.9157913165266107
8	sqrt	2	4	1000	0.9295454545454543	0.9434529505582135	0.9157913165266107
12	sqrt	2	8	600	0.9277272727272725	0.9434529505582135	0.9132913165266107
12	sqrt	2	8	1000	0.9295454545454543	0.9434529505582135	0.9157913165266107
8	log2	2	4	1000	0.9222727272727272	0.9428472696893749	0.9060294117647059
8	log2	2	2	1000	0.9222727272727272	0.9428472696893749	0.9060294117647059
10	sqrt	2	8	200	0.929577922077922	0.942663476874003	0.9157913165266107
12	sqrt	2	2	600	0.9277597402597401	0.9424003189792662	0.9134103641456583
12	sqrt	2	4	600	0.9277597402597401	0.9424003189792662	0.9134103641456583
12	log2	2	10	1000	0.9259740259740259	0.9424003189792662	0.911029411764706
12	log2	2	10	600	0.9222727272727272	0.9422624743677375	0.9059103641456583
10	sqrt	2	8	600	0.9295454545454545	0.9391922989291409	0.9167436974789916
12	sqrt	2	10	600	0.9277272727272725	0.9389291410344042	0.9143627450980393
10	sqrt	2	8	1000	0.9277272727272725	0.9389291410344042	0.9143627450980393
10	log2	2	10	600	0.9259415584415583	0.9389291410344042	0.9119817927170869
12	sqrt	2	10	1000	0.9277272727272725	0.9389291410344042	0.9143627450980393
8	sqrt	2	4	200	0.9259740259740259	0.9388696172248802	0.9119817927170868
8	sqrt	2	2	200	0.9259740259740259	0.9388696172248802	0.9119817927170868
10	log2	2	10	1000	0.9241233766233765	0.9386367433735854	0.9096008403361345
12	log2	2	10	200	0.9186363636363636	0.9384079181911998	0.9022198879551822
10	log2	2	10	200	0.920551948051948	0.9381605528973948	0.9047198879551821
10	log2	2	8	1000	0.9223376623376623	0.9378765094554566	0.9071008403361345
12	log2	2	8	200	0.9205194805194804	0.9378765094554566	0.9046008403361345
10	log2	2	8	600	0.9205194805194804	0.937584111794638	0.9047198879551821
10	log2	2	8	200	0.9205844155844154	0.9367464114832534	0.9057913165266107
12	sqrt	2	8	200	0.9277272727272727	0.9364650262018681	0.9151960784313726
12	sqrt	2	10	200	0.9259090909090908	0.9354964114832536	0.9128151260504203
8	log2	2	4	200	0.9204870129870129	0.9351497728277913	0.9055532212885155
8	log2	2	2	200	0.9204870129870129	0.9351497728277913	0.9055532212885155
10	sqrt	2	10	200	0.9241233766233765	0.93481658692185	0.9105532212885155
12	sqrt	4	4	200	0.9276948051948052	0.9345891243259663	0.9151960784313726
12	sqrt	4	8	200	0.9276948051948052	0.9345891243259663	0.9151960784313726
12	sqrt	4	2	200	0.9276948051948052	0.9345891243259663	0.9151960784313726
10	sqrt	2	10	1000	0.9259090909090908	0.9333735854788486	0.9129341736694678
8	log2	2	2	600	0.9168506493506493	0.9331937799043061	0.900672268907563
8	log2	2	4	600	0.9168506493506493	0.9331937799043061	0.900672268907563
8	log2	2	8	1000	0.9186688311688311	0.9327543904324089	0.9031722689075631
10	sqrt	4	2	200	0.9241233766233765	0.9323524720893142	0.9113865546218488
10	sqrt	4	4	200	0.9241233766233765	0.9323524720893142	0.9113865546218488
10	sqrt	4	8	200	0.9241233766233765	0.9323524720893142	0.9113865546218488
8	log2	2	8	200	0.915	0.9320095693779903	0.8982913165266107
8	sqrt	2	8	200	0.920551948051948	0.9298165869218499	0.9067436974789918
8	sqrt	2	8	1000	0.9240909090909091	0.9292610313662945	0.9115056022408965
8	log2	2	10	1000	0.9205194805194804	0.9292610313662945	0.9067436974789918
6	sqrt	2	4	600	0.9240909090909091	0.9292610313662945	0.9115056022408965
8	sqrt	2	10	600	0.9222727272727272	0.9292610313662945	0.9090056022408964
10	sqrt	2	10	600	0.9240909090909091	0.9292610313662945	0.9115056022408965
6	sqrt	2	2	600	0.9240909090909091	0.9292610313662945	0.9115056022408965
8	sqrt	2	10	1000	0.9240909090909091	0.9292610313662945	0.9115056022408965
8	sqrt	2	8	600	0.9222727272727272	0.9292610313662945	0.9090056022408964
12	sqrt	4	8	600	0.9222727272727272	0.9292610313662945	0.9090056022408964
12	sqrt	4	4	600	0.9222727272727272	0.9292610313662945	0.9090056022408964
12	sqrt	4	2	600	0.9222727272727272	0.9292610313662945	0.9090056022408964
12	log2	4	4	1000	0.9186688311688311	0.9289686337054757	0.9042436974789917
12	log2	4	8	1000	0.9186688311688311	0.9289686337054757	0.9042436974789917
12	log2	4	2	1000	0.9186688311688311	0.9289686337054757	0.9042436974789917
8	log2	2	10	600	0.9168831168831169	0.9289342339806735	0.9017436974789916
8	log2	2	8	600	0.9150649350649351	0.9286418363198548	0.8993627450980393
8	sqrt	2	4	600	0.9240909090909091	0.9286367433735855	0.9114635854341737
8	sqrt	2	2	600	0.9240909090909091	0.9286367433735855	0.9114635854341737
6	sqrt	2	2	1000	0.9222402597402597	0.9284079181911998	0.9089635854341737
6	sqrt	2	4	1000	0.9222402597402597	0.9284079181911998	0.9089635854341737
8	log2	2	10	200	0.9150324675324674	0.9270534290271131	0.8993627450980393
12	log2	4	4	600	0.9168506493506492	0.925179293269211	0.9026960784313726
12	log2	4	8	600	0.9168506493506492	0.925179293269211	0.9026960784313726
12	log2	4	2	600	0.9168506493506492	0.925179293269211	0.9026960784313726
10	sqrt	4	2	600	0.9222727272727272	0.9250003797372217	0.9099159663865546
10	sqrt	4	4	600	0.9222727272727272	0.9250003797372217	0.9099159663865546
10	sqrt	4	8	600	0.9222727272727272	0.9250003797372217	0.9099159663865546
8	sqrt	4	2	200	0.9204545454545453	0.9247885757173682	0.907577030812325
