Dataset	Type	RF ACC	RF AUC	RF PR	RF SP	XGB ACC	XGB AUC	XGB PR	XGB SP	SVM ACC	SVM AUC	SVM PR	SVM SP	MLP ACC	MLP AUC	MLP PR	MLP SP
ALK	ECFP4_256bits	Train 0.99 | Valid 0.99 | Test 0.97	Train 0.98 | Valid 0.99 | Test 0.97	Train 0.98 | Valid 1.00 | Test 0.94	Train 0.99 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.96 | Valid 0.98 | Test 0.99	Train 0.95 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.93 | Valid 0.97 | Test 0.98	Train 0.92 | Valid 0.96 | Test 0.98	Train 0.98 | Valid 1.00 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.99
BTK	ECFP4_256bits	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.99	Train 0.98 | Valid 0.97 | Test 0.97	Train 0.98 | Valid 0.97 | Test 0.96	Train 1.00 | Valid 1.00 | Test 0.98	Train 1.00 | Valid 1.00 | Test 0.99	Train 1.00 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.94 | Valid 0.92 | Test 0.93	Train 0.93 | Valid 0.92 | Test 0.93	Train 0.96 | Valid 0.92 | Test 0.92	Train 0.97 | Valid 0.95 | Test 0.95
CHK1	ECFP4_256bits	Train 0.99 | Valid 0.99 | Test 0.99	Train 0.99 | Valid 0.99 | Test 0.99	Train 0.97 | Valid 0.97 | Test 0.97	Train 0.98 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 0.98 | Test 0.96	Train 1.00 | Valid 0.98 | Test 0.98	Train 0.74 | Valid 0.76 | Test 0.76	Train 0.68 | Valid 0.70 | Test 0.70	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.91 | Valid 0.92 | Test 0.93	Train 0.90 | Valid 0.90 | Test 0.91	Train 0.95 | Valid 0.96 | Test 0.97	Train 0.97 | Valid 0.98 | Test 0.98
FLT3	ECFP4_256bits	Train 0.99 | Valid 0.96 | Test 0.97	Train 0.99 | Valid 0.95 | Test 0.97	Train 0.99 | Valid 0.95 | Test 0.97	Train 0.99 | Valid 0.97 | Test 0.98	Train 0.99 | Valid 0.96 | Test 0.98	Train 0.99 | Valid 0.96 | Test 0.97	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.91 | Test 0.95	Train 1.00 | Valid 0.89 | Test 0.94	Train 1.00 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 0.95 | Test 0.98	Train 1.00 | Valid 0.95 | Test 0.97	Train 1.00 | Valid 0.94 | Test 0.98	Train 1.00 | Valid 0.96 | Test 0.99
HGF	ECFP4_256bits	Train 0.98 | Valid 0.94 | Test 0.94	Train 0.99 | Valid 0.94 | Test 0.94	Train 0.97 | Valid 0.93 | Test 0.89	Train 0.98 | Valid 0.95 | Test 0.92	Train 0.94 | Valid 0.91 | Test 0.93	Train 0.93 | Valid 0.89 | Test 0.93	Train 0.96 | Valid 0.92 | Test 0.88	Train 0.98 | Valid 0.95 | Test 0.91	Train 1.00 | Valid 0.95 | Test 0.99	Train 1.00 | Valid 0.94 | Test 0.98	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.85 | Valid 0.85 | Test 0.88	Train 0.82 | Valid 0.82 | Test 0.87	Train 0.92 | Valid 0.91 | Test 0.87	Train 0.96 | Valid 0.95 | Test 0.91
IRAK4	ECFP4_256bits	Train 1.00 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 0.97 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 1.00 | Test 0.98	Train 1.00 | Valid 1.00 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.96 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.94 | Valid 0.92 | Test 0.96	Train 0.93 | Valid 0.90 | Test 0.95	Train 0.96 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 1.00 | Test 1.00
ITK	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.99 | Test 1.00	Train 0.99 | Valid 0.99 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.99 | Test 0.97	Train 1.00 | Valid 0.99 | Test 0.98	Train 1.00 | Valid 0.98 | Test 0.94	Train 1.00 | Valid 0.99 | Test 0.96
PIM1	ECFP4_256bits	Train 0.99 | Valid 0.96 | Test 1.00	Train 0.99 | Valid 0.95 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.96 | Valid 0.93 | Test 0.98	Train 0.96 | Valid 0.92 | Test 0.97	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.92 | Test 0.95	Train 1.00 | Valid 0.90 | Test 0.93	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.92 | Valid 0.93 | Test 0.96	Train 0.91 | Valid 0.92 | Test 0.95	Train 0.92 | Valid 0.98 | Test 1.00	Train 0.95 | Valid 0.99 | Test 1.00
SYK	ECFP4_256bits	Train 0.99 | Valid 0.98 | Test 1.00	Train 0.99 | Valid 0.98 | Test 1.00	Train 0.98 | Valid 0.98 | Test 1.00	Train 0.99 | Valid 0.99 | Test 1.00	Train 1.00 | Valid 0.97 | Test 1.00	Train 1.00 | Valid 0.97 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.93 | Valid 0.94 | Test 0.96	Train 0.92 | Valid 0.93 | Test 0.95	Train 0.96 | Valid 0.98 | Test 0.96	Train 0.97 | Valid 0.99 | Test 0.98
TRKA	ECFP4_256bits	Train 0.99 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.98 | Test 0.99	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.83 | Valid 0.90 | Test 0.96	Train 0.79 | Valid 0.87 | Test 0.95	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.88 | Valid 0.91 | Test 0.98	Train 0.86 | Valid 0.89 | Test 0.97	Train 0.97 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
